product_id,revenue,profit,units,avg_discount,category,product_name,list_price,margin_pct
P1020,3070.72,105.92,545,0.06660958904109589,Grocery,Grocery Item 21,6.05,0.03449353897457274
P1038,5722.68,263.16,528,0.07051282051282051,Grocery,Grocery Item 39,11.89,0.04598544737780201
P1083,57946.77,2908.05,528,0.07137546468401487,Electronics,Electronics Item 9,119.49,0.05018485068279044
P1034,2784.19,193.63,504,0.07030651340996169,Grocery,Grocery Item 35,6.04,0.06954625941476694
P1003,5258.4,388.26,517,0.07948717948717948,Grocery,Grocery Item 4,11.2,0.07383614787768143
P1021,2030.38,166.63,497,0.06630434782608696,Grocery,Grocery Item 22,4.4,0.08206838128823175
P1033,1328.67,109.77,510,0.06678571428571428,Grocery,Grocery Item 34,2.83,0.08261645103750366
P1007,2804.54,248.59,527,0.07145328719723183,Grocery,Grocery Item 8,5.79,0.08863842198720646
P1029,6010.24,545.77,571,0.07926421404682274,Grocery,Grocery Item 30,11.48,0.0908066899158769
P1023,6576.4,605.0799999999999,513,0.07613636363636364,Grocery,Grocery Item 24,13.98,0.09200778541451249
P1015,1623.77,152.39000000000001,537,0.06660714285714285,Grocery,Grocery Item 16,3.27,0.09384949838955026
P1011,4779.46,518.37,601,0.07297297297297298,Grocery,Grocery Item 12,8.69,0.10845785925606659
P1028,2070.65,248.57,584,0.06419354838709677,Grocery,Grocery Item 29,3.83,0.1200444304928404
P1002,1343.52,168.72,534,0.07597173144876325,Grocery,Grocery Item 3,2.76,0.1255805644873169
P1039,4534.88,578.5,587,0.07145390070921985,Grocery,Grocery Item 40,8.42,0.12756677133683803
P1001,1875.81,240.05,508,0.07313432835820896,Grocery,Grocery Item 2,4.03,0.12797138302919805
P1022,7109.47,925.75,534,0.07948717948717948,Grocery,Grocery Item 23,14.6,0.13021364461767193
P1082,169757.75,22377.72,553,0.06996466431095406,Electronics,Electronics Item 8,332.37,0.13182149268590093
P1095,171606.32,23356.09,541,0.06818181818181818,Electronics,Electronics Item 21,344.21,0.1361027379411201
P1019,5326.59,734.31,539,0.0659468438538206,Grocery,Grocery Item 20,10.61,0.13785742848614216
